STORE_NBR,YEARMONTH,period,is_trial_store,total_sales,num_customers,num_transactions,transactions_per_customer
1,2018-07,pre_trial,False,206.9,49,52,1.0612244897959184
1,2018-08,pre_trial,False,176.1,42,43,1.0238095238095237
1,2018-09,pre_trial,False,278.8,59,62,1.0508474576271187
1,2018-10,pre_trial,False,188.1,44,45,1.0227272727272727
1,2018-11,pre_trial,False,192.6,46,47,1.0217391304347827
1,2018-12,pre_trial,False,189.6,42,47,1.119047619047619
1,2019-01,pre_trial,False,154.8,35,36,1.0285714285714285
1,2019-02,trial,False,225.4,52,55,1.0576923076923077
1,2019-03,trial,False,192.9,45,49,1.0888888888888888
1,2019-04,trial,False,192.9,42,43,1.0238095238095237
2,2018-07,pre_trial,False,150.8,39,41,1.0512820512820513
2,2018-08,pre_trial,False,193.8,39,43,1.1025641025641026
2,2018-09,pre_trial,False,154.4,36,37,1.0277777777777777
2,2018-10,pre_trial,False,167.8,41,43,1.048780487804878
2,2018-11,pre_trial,False,162.9,39,40,1.0256410256410255
2,2018-12,pre_trial,False,136.0,35,37,1.0571428571428572
2,2019-01,pre_trial,False,162.8,43,45,1.0465116279069768
2,2019-02,trial,False,139.4,29,32,1.103448275862069
2,2019-03,trial,False,192.1,43,46,1.069767441860465
2,2019-04,trial,False,196.5,47,49,1.0425531914893618
3,2018-07,pre_trial,False,1205.7,112,138,1.2321428571428572
3,2018-08,pre_trial,False,1079.75,112,131,1.1696428571428572
3,2018-09,pre_trial,False,1021.5,102,119,1.1666666666666667
3,2018-10,pre_trial,False,1037.9,104,119,1.1442307692307692
3,2018-11,pre_trial,False,1008.0,101,118,1.1683168316831682
3,2018-12,pre_trial,False,1121.6,111,129,1.162162162162162
3,2019-01,pre_trial,False,1051.7,102,119,1.1666666666666667
3,2019-02,trial,False,1197.7,116,136,1.1724137931034482
3,2019-03,trial,False,1124.4,109,129,1.18348623853211
3,2019-04,trial,False,920.0,90,108,1.2
4,2018-07,pre_trial,False,1399.9,128,158,1.234375
4,2018-08,pre_trial,False,1259.5,123,150,1.2195121951219512
4,2018-09,pre_trial,False,1198.6,119,136,1.1428571428571428
4,2018-10,pre_trial,False,1346.4,123,153,1.2439024390243902
4,2018-11,pre_trial,False,1212.0,118,138,1.1694915254237288
4,2018-12,pre_trial,False,1185.6,104,133,1.2788461538461537
4,2019-01,pre_trial,False,1525.0,134,167,1.2462686567164178
4,2019-02,trial,False,883.4,91,101,1.10989010989011
4,2019-03,trial,False,1192.4,118,135,1.1440677966101696
4,2019-04,trial,False,1230.5,116,136,1.1724137931034482
5,2018-07,pre_trial,False,812.0,93,120,1.2903225806451613
5,2018-08,pre_trial,False,745.1,97,112,1.1546391752577319
5,2018-09,pre_trial,False,896.0,101,125,1.2376237623762376
5,2018-10,pre_trial,False,798.0,88,107,1.2159090909090908
5,2018-11,pre_trial,False,771.4,85,111,1.3058823529411765
5,2018-12,pre_trial,False,879.2,95,125,1.3157894736842106
5,2019-01,pre_trial,False,838.0,92,117,1.2717391304347827
5,2019-02,trial,False,727.0,87,106,1.2183908045977012
5,2019-03,trial,False,681.4,82,97,1.1829268292682926
5,2019-04,trial,False,721.8,86,109,1.2674418604651163
6,2018-07,pre_trial,False,260.0,48,51,1.0625
6,2018-08,pre_trial,False,203.2,44,47,1.0681818181818181
6,2018-09,pre_trial,False,207.7,38,38,1.0
6,2018-10,pre_trial,False,292.4,52,54,1.0384615384615385
6,2018-11,pre_trial,False,255.3,50,51,1.02
6,2018-12,pre_trial,False,209.1,38,41,1.0789473684210527
6,2019-01,pre_trial,False,191.1,35,37,1.0571428571428572
6,2019-02,trial,False,224.0,40,40,1.0
6,2019-03,trial,False,179.5,39,40,1.0256410256410255
6,2019-04,trial,False,197.9,37,38,1.027027027027027
7,2018-07,pre_trial,False,1024.7,100,120,1.2
7,2018-08,pre_trial,False,1119.9,109,130,1.1926605504587156
7,2018-09,pre_trial,False,1147.3,111,128,1.1531531531531531
7,2018-10,pre_trial,False,1063.9,108,124,1.1481481481481481
7,2018-11,pre_trial,False,1076.5,111,129,1.162162162162162
7,2018-12,pre_trial,False,906.1,95,112,1.1789473684210525
7,2019-01,pre_trial,False,975.1,102,113,1.107843137254902
7,2019-02,trial,False,1026.4,98,120,1.2244897959183674
7,2019-03,trial,False,1145.8,123,138,1.1219512195121952
7,2019-04,trial,False,942.4,85,108,1.2705882352941176
8,2018-07,pre_trial,False,381.6,40,43,1.075
8,2018-08,pre_trial,False,383.0,46,46,1.0
8,2018-09,pre_trial,False,293.0,36,36,1.0
8,2018-10,pre_trial,False,422.8,45,49,1.0888888888888888
8,2018-11,pre_trial,False,349.2,39,40,1.0256410256410255
8,2018-12,pre_trial,False,356.4,36,40,1.1111111111111112
8,2019-01,pre_trial,False,445.0,47,50,1.0638297872340425
8,2019-02,trial,False,345.4,37,38,1.027027027027027
8,2019-03,trial,False,441.40000000000003,48,51,1.0625
8,2019-04,trial,False,364.8,39,41,1.0512820512820513
9,2018-07,pre_trial,False,289.7,46,50,1.0869565217391304
9,2018-08,pre_trial,False,327.5,52,56,1.0769230769230769
9,2018-09,pre_trial,False,369.7,55,59,1.0727272727272728
9,2018-10,pre_trial,False,361.0,55,57,1.0363636363636364
9,2018-11,pre_trial,False,374.4,61,65,1.0655737704918034
9,2018-12,pre_trial,False,382.6,58,61,1.0517241379310345
9,2019-01,pre_trial,False,399.4,65,66,1.0153846153846153
9,2019-02,trial,False,259.4,43,45,1.0465116279069768
9,2019-03,trial,False,367.6,50,54,1.08
9,2019-04,trial,False,267.6,45,46,1.0222222222222221
10,2018-07,pre_trial,False,892.0,100,122,1.22
10,2018-08,pre_trial,False,878.65,96,123,1.28125
10,2018-09,pre_trial,False,945.0,112,136,1.2142857142857142
10,2018-10,pre_trial,False,910.8,93,125,1.3440860215053763
10,2018-11,pre_trial,False,885.0,100,128,1.28
10,2018-12,pre_trial,False,936.6,108,134,1.2407407407407407
10,2019-01,pre_trial,False,878.6,102,126,1.2352941176470589
10,2019-02,trial,False,853.0,97,121,1.2474226804123711
10,2019-03,trial,False,862.0,98,120,1.2244897959183674
10,2019-04,trial,False,746.2,85,105,1.2352941176470589
11,2018-10,pre_trial,False,2.9,1,1,1.0
11,2018-12,pre_trial,False,3.8,1,1,1.0
12,2018-07,pre_trial,False,429.6,47,49,1.0425531914893618
12,2018-08,pre_trial,False,360.8,44,45,1.0227272727272727
12,2018-09,pre_trial,False,417.6,48,49,1.0208333333333333
12,2018-10,pre_trial,False,423.6,43,46,1.069767441860465
12,2018-11,pre_trial,False,456.6,49,51,1.0408163265306123
12,2018-12,pre_trial,False,495.2,53,57,1.0754716981132075
12,2019-01,pre_trial,False,451.8,46,49,1.065217391304348
12,2019-02,trial,False,334.4,38,38,1.0
12,2019-03,trial,False,491.6,47,53,1.127659574468085
12,2019-04,trial,False,467.2,44,49,1.1136363636363635
13,2018-07,pre_trial,False,811.8,97,120,1.2371134020618557
13,2018-08,pre_trial,False,756.9,96,113,1.1770833333333333
13,2018-09,pre_trial,False,840.0,96,123,1.28125
13,2018-10,pre_trial,False,851.0,97,122,1.2577319587628866
13,2018-11,pre_trial,False,1049.4,120,152,1.2666666666666666
13,2018-12,pre_trial,False,878.6,106,130,1.2264150943396226
13,2019-01,pre_trial,False,927.0,97,130,1.3402061855670102
13,2019-02,trial,False,868.0,101,125,1.2376237623762376
13,2019-03,trial,False,1035.6,111,147,1.3243243243243243
13,2019-04,trial,False,1024.4,101,140,1.386138613861386
14,2018-07,pre_trial,False,46.9,8,8,1.0
14,2018-08,pre_trial,False,46.8,8,8,1.0
14,2018-09,pre_trial,False,47.5,7,7,1.0
14,2018-10,pre_trial,False,42.0,6,6,1.0
14,2018-11,pre_trial,False,47.6,8,8,1.0
14,2018-12,pre_trial,False,34.4,6,6,1.0
14,2019-01,pre_trial,False,18.0,3,3,1.0
14,2019-02,trial,False,34.4,5,5,1.0
14,2019-03,trial,False,13.2,2,2,1.0
14,2019-04,trial,False,17.3,3,3,1.0
